id,nome,quartiere,classificazione,score,note,ciclabile_presente,n_corsie,senso_unico,n_testimonianze,zona,data_segnalazione
SS-BOL-0683,Via Feltre,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-BOL-0684,Via Ferdinando Magellano,,blu,2,zona pedonale / living street,no,1,no,0,B1,
SS-BOL-0685,Via Fernanda Pivano,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0686,Via Fernando Felicori,,verde,1,ciclabile presente (da OpenStreetMap),si,1,si,0,B1,
SS-BOL-0687,Via Fernando Fortuzzi,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0688,Via Fernando de Rosa,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,A1,
SS-BOL-0689,Via Ferrara,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-BOL-0690,Via Ferrarese,,rosso,4,strada secondaria trafficata (2 corsie),no,2,si,0,B1,
SS-BOL-0691,Via Ferruccio Benini,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0692,Via Ferruccio Garavaglia,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0693,Via Ferruccio Magnani,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B1,
SS-BOL-0694,Via Ferruccio Parri,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B1,
SS-BOL-0695,Via Filippini,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-BOL-0696,Via Filippo Antolini,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,B1,
SS-BOL-0697,Via Filippo Argelati,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-BOL-0698,Via Filippo Benizzi,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0699,Via Filippo Beroaldo,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,B1,
SS-BOL-0700,Via Filippo De Pisis,,verde,1,ciclabile presente (da OpenStreetMap),si,2,no,0,B1,
SS-BOL-0701,Via Filippo Re,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0702,Via Filippo Schiassi,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,A1,
SS-BOL-0703,Via Filippo Terzi,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0704,Via Filippo Turati,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-BOL-0705,Via Filippo e Angelo Cuccoli,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0706,Via Fiorita,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,A1,
SS-BOL-0707,Via Firenze,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,si,0,A1,
SS-BOL-0708,Via Floriano Ambrosini,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-BOL-0709,Via Fondazza,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,A1,
SS-BOL-0710,Via Fonti di Casaglia,,blu,2,zona pedonale / living street,no,1,no,0,A1,
SS-BOL-0711,Via Fossa Cava,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0712,Via Fossalta,,blu,2,zona pedonale / living street,no,1,no,0,B1,
SS-BOL-0713,Via Fossolo,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,si,0,A1,
SS-BOL-0714,Via Frabazza,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,no,0,B1,
SS-BOL-0715,Via Francesca Edera De Giovanni,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-BOL-0716,Via Francesco Albani,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-BOL-0717,Via Francesco Albergati,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,A1,
SS-BOL-0718,Via Francesco Arcangeli,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0719,Via Francesco Baracca,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-BOL-0720,Via Francesco Bartoli,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0721,Via Francesco Brizzi,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-BOL-0722,Via Francesco Cavazza,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-BOL-0723,Via Francesco Cavazzoni,,verde,1,ciclabile presente (da OpenStreetMap),si,2,no,0,A1,
SS-BOL-0724,Via Francesco Cilea,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-BOL-0725,Via Francesco De Sanctis,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0726,Via Francesco Del Cossa,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0727,Via Francesco Fantoni,,verde,1,ciclabile presente (da OpenStreetMap),si,2,no,0,B1,
SS-BOL-0728,Via Francesco Flora,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0729,Via Francesco Guardi,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0730,Via Francesco Nullo,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-BOL-0731,Via Francesco Orioli,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,A1,
SS-BOL-0732,Via Francesco Orsoni,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-BOL-0733,Via Francesco Paolo Michetti,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-BOL-0734,Via Francesco Petrarca,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-BOL-0735,Via Francesco Primaticcio,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B1,
SS-BOL-0736,Via Francesco Rismondo,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-BOL-0737,Via Francesco Rizzoli,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,B1,
SS-BOL-0738,Via Francesco Rocchi,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
