id,nome,quartiere,classificazione,score,note,ciclabile_presente,n_corsie,senso_unico,n_testimonianze,zona,data_segnalazione
SS-NAP-1077,Via Falero,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A2,
SS-NAP-1078,Via Fausto Coppi,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-NAP-1079,Via Federico Celentano,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-NAP-1080,Via Federico Delpino,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-NAP-1081,Via Federico Fellini,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-NAP-1082,Via Federico II,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-NAP-1083,Via Federico Persico,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-NAP-1084,Via Federico d'Aragona,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-NAP-1085,Via Fedro,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-NAP-1086,Via Felice Cavallotti,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-NAP-1087,Via Ferdinando Acton,,rosso,4,strada principale trafficata (2 corsie),no,2,si,0,A2,
SS-NAP-1088,Via Ferdinando Galiani,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-NAP-1089,Via Ferdinando Grieco,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A2,
SS-NAP-1090,Via Ferdinando Manlio,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-NAP-1091,Via Ferdinando Nicola Sacco e Bartolomeo Vanzetti,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A2,
SS-NAP-1092,Via Ferdinando Palasciano,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-NAP-1093,Via Ferdinando Russo,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-NAP-1094,Via Ferdinando del Carretto,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,A2,
SS-NAP-1095,Via Ferrante Imparato,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A2,
SS-NAP-1096,Via Ferrante Loffredo,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-NAP-1097,Via Ferrante d'Aragona,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-NAP-1098,Via Ferrara,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-NAP-1099,Via Fiammetta,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A2,
SS-NAP-1100,Via Figurelle,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A2,
SS-NAP-1101,Via Filippo Agresti,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A2,
SS-NAP-1102,Via Filippo Bottazzi,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-NAP-1103,Via Filippo Cavolino,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-NAP-1104,Via Filippo Cifariello,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-NAP-1105,Via Filippo Illuminato,,blu,2,accesso limitato (ZTL),no,1,no,0,A1,
SS-NAP-1106,Via Filippo Maria Briganti,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-NAP-1107,Via Filippo Mazzei,,blu,2,zona pedonale / living street,no,1,no,0,A1,
SS-NAP-1108,Via Filippo Palizzi,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-NAP-1109,Via Filippo Rega,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-NAP-1110,Via Filippo de Grenet,,blu,2,zona pedonale / living street,no,1,no,0,A1,
SS-NAP-1111,Via Filomena Nitti Bovet,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B1,
SS-NAP-1112,Via Filumena Marturano,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A2,
SS-NAP-1113,Via Firenze,,rosso,4,strada secondaria trafficata,no,2,si,0,B2,
SS-NAP-1114,Via Fiume,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-NAP-1115,Via Flavio Gioia,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A2,
SS-NAP-1116,Via Florestano Rossomandi,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-NAP-1117,Via Floriano del Secolo,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-NAP-1118,Via Foggia,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-NAP-1119,Via Fonseca,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-NAP-1120,Via Fontanelle,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-NAP-1121,Via Fontanelle al Trivio,,giallo,3,strada urbana senza ciclabile,no,2,no,0,B2,
SS-NAP-1122,Via Forcella,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A2,
SS-NAP-1123,Via Foria,,rosso,4,strada principale trafficata (3 corsie),no,3,si,0,B2,
