id,nome,quartiere,classificazione,score,note,ciclabile_presente,n_corsie,senso_unico,n_testimonianze,zona,data_segnalazione
SS-MIL-3840,Via Sant'Andrea,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-MIL-3841,Via Sant'Angelo,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-MIL-3842,Via Sant'Antonio,,giallo,3,strada urbana senza ciclabile,no,2,no,0,A1,
SS-MIL-3843,Via Sant'Antonio Maria Zaccaria,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B2,
SS-MIL-3844,Via Sant'Apollinare,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B1,
SS-MIL-3845,Via Sant'Aquilino,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B1,
SS-MIL-3846,Via Sant'Arialdo,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,A2,
SS-MIL-3847,Via Sant'Arnaldo,,giallo,3,strada urbana senza ciclabile,no,2,si,0,C2,
SS-MIL-3848,Via Sant'Erlembaldo,,giallo,3,strada urbana senza ciclabile,no,2,no,0,C2,
SS-MIL-3849,Via Sant'Eufemia,,giallo,3,strada urbana senza ciclabile,no,2,si,0,B2,
SS-MIL-3850,Via Sant'Eusebio,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,B1,
SS-MIL-3851,Via Sant'Orsola,,giallo,3,strada urbana senza ciclabile (1 corsie),no,1,si,0,B2,
SS-MIL-3852,Via Sant'Uguzzone,,giallo,3,strada urbana senza ciclabile,no,2,si,0,C2,
SS-MIL-3853,Via Santa Adele,,giallo,3,strada urbana senza ciclabile,no,2,si,0,A1,
SS-MIL-3854,Via Santa Cecilia,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,no,0,B2,
SS-MIL-3855,Via Santa Croce,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,si,0,B2,
SS-MIL-3856,Via Santa Giovanna d'Arco,,giallo,3,strada urbana senza ciclabile (2 corsie),no,2,si,0,C2,
